BBSTIX, BHS, SW and 10,000 Lakes Division Quartet and Chorus Convention
Land O' Lakes District, lol10sw, Stillwater, Minnesota, March 28, 2015
Subsessions: Chorus Finals (7), 1=10,000 Lakes Division Chorus, 2=Southwest Division Chorus, 3=10,000 Lakes Division Chorus District Qualification (Score), 4=Southwest Division Chorus District Qualification (Score), 5=10,000 Lakes Division Plateau A Chorus, 6=Southwest Division Plateau A Chorus, 7=10,000 Lakes Division Plateau AA Chorus, 8=Southwest Division Plateau AA Chorus, 9=10,000 Lakes Division Plateau AAA Chorus, 10=10,000 Lakes Division Most-Improved Chorus, 11=Southwest Division Most-Improved Chorus
Subsessions: Quartet Finals (16), 1=10,000 Lakes Division Quartet, 2=Southwest Division Quartet, 3=10,000 Lakes Division Quartet District Qualification (Overall), 4=Southwest Division Quartet District Qualification (Overall), 5=10,000 Lakes Division Out Of Division Quartet (Overall), 6=10,000 Lakes Division Seniors Qt District Qualification (Overall), 7=10,000 Lakes Division Novice Quartet, 8=Southwest Division Novice Quartet
Judge Count: 8
Panel - Chorus Finals:, "1 (MUS)=Johnson, Steve", "2 (MUS)=Keller, Kevin", "3 (PRS)=Dunckel, Kevin", "4 (PRS)=Nau, Ev", "5 (SNG)=Black, Ron", "6 (SNG)=St. John, Chad", "51 (PRS)=Cating, Mike", "52 (SNG)=Reynolds, Tim"
Panel - Quartet Finals:, "1 (MUS)=Johnson, Steve", "2 (MUS)=Keller, Kevin", "3 (PRS)=Dunckel, Kevin", "4 (PRS)=Nau, Ev", "5 (SNG)=Black, Ron", "6 (SNG)=St. John, Chad", "51 (PRS)=Cating, Mike", "52 (SNG)=Reynolds, Tim"
Session: Quartet Finals, "Contestant Name: M & D Harmony", "Subsessions: 1,3,7", OA: 10, Song Nbr: 2, "Song Title: Wait Till The Sun Shines, Nellie", 63, 54, 52, 55, 58, 58, 56, 53
Session: Quartet Finals, "Contestant Name: Getaway", "Subsessions: 1,3,7", OA: 11, Song Nbr: 1, "Song Title: Rhythm In My Nursery Rhymes", 67, 67, 70, 71, 71, 73, 70, 63
Session: Quartet Finals, "Contestant Name: Getaway", "Subsessions: 1,3,7", OA: 11, Song Nbr: 2, "Song Title: Ev'ry Morning She Makes Me Late", 67, 68, 71, 68, 70, 72, 68, 64
Session: Quartet Finals, "Contestant Name: Vocal Express", "Subsessions: 2,4", OA: 12, Song Nbr: 1, "Song Title: Nevertheless (I'm In Love With You)", 66, 65, 68, 67, 66, 68, 66, 66
Session: Quartet Finals, "Contestant Name: Vocal Express", "Subsessions: 2,4", OA: 12, Song Nbr: 2, "Song Title: Recipe For Love", 65, 67, 67, 65, 65, 67, 65, 66
Session: Quartet Finals, "Contestant Name: Note'orious", "Subsessions: 1,3,6", OA: 13, Song Nbr: 1, "Song Title: You Brought A New Kind Of Love To Me", 65, 65, 65, 63, 63, 65, 60, 59
Session: Quartet Finals, "Contestant Name: Note'orious", "Subsessions: 1,3,6", OA: 13, Song Nbr: 2, "Song Title: Frog Kissin'", 64, 67, 64, 64, 62, 64, 62, 60
Session: Quartet Finals, "Contestant Name: Crosstown Alliance", "Subsessions: 1,3,7", OA: 14, Song Nbr: 1, "Song Title: I Told Them All About You/You Dear (Medley)", 66, 69, 68, 64, 64, 64, 64, 67
Session: Quartet Finals, "Contestant Name: Crosstown Alliance", "Subsessions: 1,3,7", OA: 14, Song Nbr: 2, "Song Title: That Tumble Down Shack In Athlone", 65, 68, 69, 68, 64, 65, 66, 69
Session: Quartet Finals, "Contestant Name: Ring It On!", "Subsessions: 1,3,7", OA: 15, Song Nbr: 1, "Song Title: Let's Do It", 59, 58, 56, 61, 60, 57, 58, 57
Session: Quartet Finals, "Contestant Name: Ring It On!", "Subsessions: 1,3,7", OA: 15, Song Nbr: 2, "Song Title: Drivin' Me Crazy", 60, 60, 55, 60, 61, 57, 57, 57
Session: Quartet Finals, "Contestant Name: The Back Forty", "Subsessions: 2,4,8", OA: 16, Song Nbr: 1, "Song Title: I Told Them All About You/You Dear (Medley)", 68, 65, 68, 68, 65, 67, 66, 67
Session: Quartet Finals, "Contestant Name: The Back Forty", "Subsessions: 2,4,8", OA: 16, Song Nbr: 2, "Song Title: Goodbye, My Coney Island Baby/We All Fall (Medley)", 68, 66, 67, 70, 67, 68, 65, 68
