BBSTIX, BHS, International Quartet Preliminaries and District Chorus Convention
Sunshine District, Orlando, Florida, April 11, 2015
Subsessions: Chorus Finals (9), 1=Sunshine District Chorus, 2=Sunshine District Most-Improved Chorus (Raw)
Subsessions: Quartet Semi-Finals (15), 1=Sunshine District International Preliminary Quartet (2 Rounds), 2=Sunshine District International Preliminary Collegiate Qt (DR/Score), 3=Sunshine District Out Of District Collegiate Qt (Prelims), 4=Sunshine District Seniors Quartet
Subsessions: Quartet Finals (10), 1=Sunshine District International Preliminary Quartet (2 Rounds)
Judge Count: 8
Panel - Chorus Finals:, "1 (MUS)=Fisk, Al", "2 (MUS)=Wright, David", "3 (PRS)=Devine, Sean", "4 (PRS)=Fobart, Dave", "5 (SNG)=Barr, Jimmy", "6 (SNG)=Johnson, Rik", "51 (SNG)=Kastler, James"
Panel - Quartet Finals:, "1 (MUS)=Fisk, Al", "2 (MUS)=Wright, David", "3 (PRS)=Devine, Sean", "4 (PRS)=Fobart, Dave", "5 (SNG)=Barr, Jimmy", "6 (SNG)=Johnson, Rik", "51 (SNG)=Kastler, James", "52 (SNG)=Rubin, Alex"
Panel - Quartet Semi-Finals:, "1 (MUS)=Fisk, Al", "2 (MUS)=Wright, David", "3 (PRS)=Devine, Sean", "4 (PRS)=Fobart, Dave", "5 (SNG)=Barr, Jimmy", "6 (SNG)=Johnson, Rik", "51 (SNG)=Kastler, James", "52 (SNG)=Rubin, Alex"
Session: Quartet Semi-Finals, "Contestant Name: Kickstart", "Subsessions: 1", OA: 8, Song Nbr: 2, "Song Title: What'll I Do?", 74, 74, 72, 69, 76, 78, 80, 78
Session: Quartet Semi-Finals, "Contestant Name: Dewey, Singum, and Howe", "Subsessions: 1", OA: 9, Song Nbr: 1, "Song Title: I'm Looking Over A Four Leaf Clover", 64, 63, 64, 61, 58, 57, 61, 62
Session: Quartet Semi-Finals, "Contestant Name: Dewey, Singum, and Howe", "Subsessions: 1", OA: 9, Song Nbr: 2, "Song Title: California Here I Come", 61, 64, 66, 66, 57, 54, 59, 57
Session: Quartet Semi-Finals, "Contestant Name: Change Up", "Subsessions: 1", OA: 10, Song Nbr: 1, "Song Title: Hello My Baby", 75, 75, 75, 73, 74, 79, 73, 77
Session: Quartet Semi-Finals, "Contestant Name: Change Up", "Subsessions: 1", OA: 10, Song Nbr: 2, "Song Title: Lover Come Back To Me", 76, 76, 78, 73, 75, 80, 72, 76
Session: Quartet Semi-Finals, "Contestant Name: Signature", "Subsessions: 1", OA: 11, Song Nbr: 1, "Song Title: At Last", 78, 82, 80, 73, 77, 78, 79, 80
Session: Quartet Semi-Finals, "Contestant Name: Signature", "Subsessions: 1", OA: 11, Song Nbr: 2, "Song Title: If I Had My Way", 78, 81, 80, 74, 77, 77, 79, 81
Session: Quartet Semi-Finals, "Contestant Name: The Institute", "Subsessions: 2", OA: 12, Song Nbr: 1, "Song Title: I Can't Give You Anything But Love", 76, 77, 74, 72, 74, 75, 77, 76
Session: Quartet Semi-Finals, "Contestant Name: The Institute", "Subsessions: 2", OA: 12, Song Nbr: 2, "Song Title: Drivin' Me Crazy", 75, 76, 73, 72, 73, 75, 75, 74
Session: Quartet Semi-Finals, "Contestant Name: Wee Small Hours", "Subsessions: 1", OA: 13, Song Nbr: 1, "Song Title: Happy Days And Lonely Nights", 63, 62, 64, 61, 57, 61, 62, 66
Session: Quartet Semi-Finals, "Contestant Name: Wee Small Hours", "Subsessions: 1", OA: 13, Song Nbr: 2, "Song Title: My Romance", 62, 62, 65, 62, 57, 60, 61, 69
Session: Quartet Semi-Finals, "Contestant Name: Soundtrack", "Subsessions: 1", OA: 14, Song Nbr: 1, "Song Title: Hello My Baby", 71, 70, 70, 70, 72, 76, 67, 71
Session: Quartet Semi-Finals, "Contestant Name: Soundtrack", "Subsessions: 1", OA: 14, Song Nbr: 2, "Song Title: Shine On Me", 69, 66, 67, 65, 72, 72, 66, 70
Session: Quartet Semi-Finals, "Contestant Name: Main Street", "Subsessions: 1", OA: 15, Song Nbr: 1, "Song Title: They All Laughed", 89, 88, 89, 89, 90, 89, 89, 90
Session: Quartet Semi-Finals, "Contestant Name: Main Street", "Subsessions: 1", OA: 15, Song Nbr: 2, "Song Title: Black Eyed Susans Medley", 88, 87, 88, 90, 90, 88, 88, 88
